"index","group","input","target"
"4000","date","public CreateTicketRequest() {super(""Ccs"", ""<DATE>"", ""CreateTicket"", ""ccs"");setMethod(MethodType.POST);}","public CreateTicketRequest() {super(""Ccs"", ""2017-10-01"", ""CreateTicket"", ""ccs"");setMethod(MethodType.POST);}"
"4362","date","public UpdateKnowledgeRequest() {super(""Chatbot"", ""<DATE>"", ""UpdateKnowledge"", ""beebot"");setMethod(MethodType.POST);}","public UpdateKnowledgeRequest() {super(""Chatbot"", ""2017-10-11"", ""UpdateKnowledge"", ""beebot"");setMethod(MethodType.POST);}"
"5266","date","public RebootInstanceRequest() {super(""Ens"", ""<DATE>"", ""RebootInstance"", ""ens"");setMethod(MethodType.POST);}","public RebootInstanceRequest() {super(""Ens"", ""2017-11-10"", ""RebootInstance"", ""ens"");setMethod(MethodType.POST);}"
"5399","date","public Request<DeletePublicKeyRequest> marshall(DeletePublicKeyRequest deletePublicKeyRequest) {if (deletePublicKeyRequest == null) {throw new SdkClientException(""Invalid argument passed to marshall(...)"");}Request<DeletePublicKeyRequest> request = new DefaultRequest<DeletePublicKeyRequest>(deletePublicKeyRequest, ""AmazonCloudFront"");request.setHttpMethod(HttpMethodName.DELETE);if (deletePublicKeyRequest.getIfMatch() != null) {request.addHeader(""If-Match"", StringUtils.fromString(deletePublicKeyRequest.getIfMatch()));}String uriResourcePath = ""/<DATE>/public-key/{Id}"";uriResourcePath = com.amazonaws.transform.PathMarshallers.NON_GREEDY.marshall(uriResourcePath, ""Id"", deletePublicKeyRequest.getId());request.setResourcePath(uriResourcePath);return request;}","public Request<DeletePublicKeyRequest> marshall(DeletePublicKeyRequest deletePublicKeyRequest) {if (deletePublicKeyRequest == null) {throw new SdkClientException(""Invalid argument passed to marshall(...)"");}Request<DeletePublicKeyRequest> request = new DefaultRequest<DeletePublicKeyRequest>(deletePublicKeyRequest, ""AmazonCloudFront"");request.setHttpMethod(HttpMethodName.DELETE);if (deletePublicKeyRequest.getIfMatch() != null) {request.addHeader(""If-Match"", StringUtils.fromString(deletePublicKeyRequest.getIfMatch()));}String uriResourcePath = ""/2019-03-26/public-key/{Id}"";uriResourcePath = com.amazonaws.transform.PathMarshallers.NON_GREEDY.marshall(uriResourcePath, ""Id"", deletePublicKeyRequest.getId());request.setResourcePath(uriResourcePath);return request;}"
"5980","date","public ModifyStrategyTargetRequest() {super(""aegis"", ""<DATE>"", ""ModifyStrategyTarget"", ""vipaegis"");setMethod(MethodType.POST);}","public ModifyStrategyTargetRequest() {super(""aegis"", ""2016-11-11"", ""ModifyStrategyTarget"", ""vipaegis"");setMethod(MethodType.POST);}"
"6195","date","public SaveTaskForSubmittingDomainRealNameVerificationByIdentityCredentialRequest() {super(""Domain-intl"", ""<DATE>"", ""SaveTaskForSubmittingDomainRealNameVerificationByIdentityCredential"", ""domain"");setMethod(MethodType.POST);}","public SaveTaskForSubmittingDomainRealNameVerificationByIdentityCredentialRequest() {super(""Domain-intl"", ""2017-12-18"", ""SaveTaskForSubmittingDomainRealNameVerificationByIdentityCredential"", ""domain"");setMethod(MethodType.POST);}"
"7684","date","public Request<GetChangeRequest> marshall(GetChangeRequest getChangeRequest) {if (getChangeRequest == null) {throw new SdkClientException(""Invalid argument passed to marshall(...)"");}Request<GetChangeRequest> request = new DefaultRequest<GetChangeRequest>(getChangeRequest, ""AmazonRoute53"");request.setHttpMethod(HttpMethodName.GET);String uriResourcePath = ""/<DATE>/change/{Id}"";uriResourcePath = com.amazonaws.transform.PathMarshallers.NON_GREEDY.marshall(uriResourcePath, ""Id"", getChangeRequest.getId());request.setResourcePath(uriResourcePath);return request;}","public Request<GetChangeRequest> marshall(GetChangeRequest getChangeRequest) {if (getChangeRequest == null) {throw new SdkClientException(""Invalid argument passed to marshall(...)"");}Request<GetChangeRequest> request = new DefaultRequest<GetChangeRequest>(getChangeRequest, ""AmazonRoute53"");request.setHttpMethod(HttpMethodName.GET);String uriResourcePath = ""/2013-04-01/change/{Id}"";uriResourcePath = com.amazonaws.transform.PathMarshallers.NON_GREEDY.marshall(uriResourcePath, ""Id"", getChangeRequest.getId());request.setResourcePath(uriResourcePath);return request;}"
"29","exception","public void finish(FieldInfos fis, int numDocs) throws IOException {if (!pendingDocs.isEmpty()) {flush();numDirtyChunks++; }if (numDocs != this.numDocs) {throw new RuntimeException(""<EXCEPTION>"" + this.numDocs + "" docs, finish called with numDocs="" + numDocs);}indexWriter.finish(numDocs, vectorsStream.getFilePointer());vectorsStream.writeVLong(numChunks);vectorsStream.writeVLong(numDirtyChunks);CodecUtil.writeFooter(vectorsStream);}","public void finish(FieldInfos fis, int numDocs) throws IOException {if (!pendingDocs.isEmpty()) {flush();numDirtyChunks++; }if (numDocs != this.numDocs) {throw new RuntimeException(""Wrote "" + this.numDocs + "" docs, finish called with numDocs="" + numDocs);}indexWriter.finish(numDocs, vectorsStream.getFilePointer());vectorsStream.writeVLong(numChunks);vectorsStream.writeVLong(numDirtyChunks);CodecUtil.writeFooter(vectorsStream);}"
"38","exception","public char setIndex(int position) {if (position < getBeginIndex() || position > getEndIndex())throw new IllegalArgumentException(""<EXCEPTION>"" + position);index = start + position;return current();}","public char setIndex(int position) {if (position < getBeginIndex() || position > getEndIndex())throw new IllegalArgumentException(""Illegal Position: "" + position);index = start + position;return current();}"
"95","exception","public ValueEval evaluate(String sheetName, int rowIndex, int columnIndex) {EvaluationCell cell = _sewb.getEvaluationCell(sheetName, rowIndex, columnIndex);switch (cell.getCellType()) {case BOOLEAN:return BoolEval.valueOf(cell.getBooleanCellValue());case ERROR:return ErrorEval.valueOf(cell.getErrorCellValue());case FORMULA:return _evaluator.evaluate(cell);case NUMERIC:return new NumberEval(cell.getNumericCellValue());case STRING:return new StringEval(cell.getStringCellValue());case BLANK:return null;default:throw new IllegalStateException(""<EXCEPTION>"" + cell.getCellType() + "")"");}}","public ValueEval evaluate(String sheetName, int rowIndex, int columnIndex) {EvaluationCell cell = _sewb.getEvaluationCell(sheetName, rowIndex, columnIndex);switch (cell.getCellType()) {case BOOLEAN:return BoolEval.valueOf(cell.getBooleanCellValue());case ERROR:return ErrorEval.valueOf(cell.getErrorCellValue());case FORMULA:return _evaluator.evaluate(cell);case NUMERIC:return new NumberEval(cell.getNumericCellValue());case STRING:return new StringEval(cell.getStringCellValue());case BLANK:return null;default:throw new IllegalStateException(""Bad cell type ("" + cell.getCellType() + "")"");}}"
"169","exception","public List<Token> getHiddenTokensToLeft(int tokenIndex, int channel) {lazyInit();if ( tokenIndex<0 || tokenIndex>=tokens.size() ) {throw new IndexOutOfBoundsException(tokenIndex+""<EXCEPTION>""+(tokens.size()-1));}if (tokenIndex == 0) {return null;}int prevOnChannel =previousTokenOnChannel(tokenIndex - 1, Lexer.DEFAULT_TOKEN_CHANNEL);if ( prevOnChannel == tokenIndex - 1 ) return null;int from = prevOnChannel+1;int to = tokenIndex-1;return filterForChannel(from, to, channel);}","public List<Token> getHiddenTokensToLeft(int tokenIndex, int channel) {lazyInit();if ( tokenIndex<0 || tokenIndex>=tokens.size() ) {throw new IndexOutOfBoundsException(tokenIndex+"" not in 0..""+(tokens.size()-1));}if (tokenIndex == 0) {return null;}int prevOnChannel =previousTokenOnChannel(tokenIndex - 1, Lexer.DEFAULT_TOKEN_CHANNEL);if ( prevOnChannel == tokenIndex - 1 ) return null;int from = prevOnChannel+1;int to = tokenIndex-1;return filterForChannel(from, to, channel);}"
"175","exception","public URI(String scheme, String authority, String path, String query,String fragment) throws URISyntaxException {if (scheme != null && path != null && !path.isEmpty() && path.charAt(0) != '/') {throw new URISyntaxException(path, ""<EXCEPTION>"");}StringBuilder uri = new StringBuilder();if (scheme != null) {uri.append(scheme);uri.append(':');}if (authority != null) {uri.append("""");AUTHORITY_ENCODER.appendEncoded(uri, authority);}if (path != null) {PATH_ENCODER.appendEncoded(uri, path);}if (query != null) {uri.append('?');ALL_LEGAL_ENCODER.appendEncoded(uri, query);}if (fragment != null) {uri.append('#');ALL_LEGAL_ENCODER.appendEncoded(uri, fragment);}parseURI(uri.toString(), false);}","public URI(String scheme, String authority, String path, String query,String fragment) throws URISyntaxException {if (scheme != null && path != null && !path.isEmpty() && path.charAt(0) != '/') {throw new URISyntaxException(path, ""Relative path"");}StringBuilder uri = new StringBuilder();if (scheme != null) {uri.append(scheme);uri.append(':');}if (authority != null) {uri.append("""");AUTHORITY_ENCODER.appendEncoded(uri, authority);}if (path != null) {PATH_ENCODER.appendEncoded(uri, path);}if (query != null) {uri.append('?');ALL_LEGAL_ENCODER.appendEncoded(uri, query);}if (fragment != null) {uri.append('#');ALL_LEGAL_ENCODER.appendEncoded(uri, fragment);}parseURI(uri.toString(), false);}"
"193","exception","public int checkExternSheet(int firstSheetIndex, int lastSheetIndex) {int thisWbIndex = -1; for (int i = 0; i < _externalBookBlocks.length; i++) {SupBookRecord ebr = _externalBookBlocks[i].getExternalBookRecord();if (ebr.isInternalReferences()) {thisWbIndex = i;break;}}if (thisWbIndex < 0) {throw new RuntimeException(""<EXCEPTION>"");}int i = _externSheetRecord.getRefIxForSheet(thisWbIndex, firstSheetIndex, lastSheetIndex);if (i >= 0) {return i;}return _externSheetRecord.addRef(thisWbIndex, firstSheetIndex, lastSheetIndex);}","public int checkExternSheet(int firstSheetIndex, int lastSheetIndex) {int thisWbIndex = -1; for (int i = 0; i < _externalBookBlocks.length; i++) {SupBookRecord ebr = _externalBookBlocks[i].getExternalBookRecord();if (ebr.isInternalReferences()) {thisWbIndex = i;break;}}if (thisWbIndex < 0) {throw new RuntimeException(""Could not find 'internal references' EXTERNALBOOK"");}int i = _externSheetRecord.getRefIxForSheet(thisWbIndex, firstSheetIndex, lastSheetIndex);if (i >= 0) {return i;}return _externSheetRecord.addRef(thisWbIndex, firstSheetIndex, lastSheetIndex);}"
"254","exception","public static int response(java.net.HttpURLConnection c)throws IOException {try {return c.getResponseCode();} catch (ConnectException ce) {final URL url = c.getURL();final String host = (url == null) ? ""<null>"" : url.getHost(); if (""Connection timed out: connect"".equals(ce.getMessage())) throw new ConnectException(MessageFormat.format(JGitText.get().connectionTimeOut, host));throw new ConnectException(ce.getMessage() + ""<EXCEPTION>"" + host); }}","public static int response(java.net.HttpURLConnection c)throws IOException {try {return c.getResponseCode();} catch (ConnectException ce) {final URL url = c.getURL();final String host = (url == null) ? ""<null>"" : url.getHost(); if (""Connection timed out: connect"".equals(ce.getMessage())) throw new ConnectException(MessageFormat.format(JGitText.get().connectionTimeOut, host));throw new ConnectException(ce.getMessage() + "" "" + host); }}"
"257","exception","public static String getNonBlankTextOrFail(Element e) throws ParserException {String v = getText(e);if (null != v)v = v.trim();if (null == v || 0 == v.length()) {throw new ParserException(e.getTagName() + ""<EXCEPTION>"");}return v;}","public static String getNonBlankTextOrFail(Element e) throws ParserException {String v = getText(e);if (null != v)v = v.trim();if (null == v || 0 == v.length()) {throw new ParserException(e.getTagName() + "" has no text"");}return v;}"
"324","exception","public final void setReader(Reader input) {if (input == null) {throw new NullPointerException(""<EXCEPTION>"");} else if (this.input != ILLEGAL_STATE_READER) {throw new IllegalStateException(""<EXCEPTION>"");}this.inputPending = input;setReaderTestPoint();}","public final void setReader(Reader input) {if (input == null) {throw new NullPointerException(""input must not be null"");} else if (this.input != ILLEGAL_STATE_READER) {throw new IllegalStateException(""TokenStream contract violation: close() call missing"");}this.inputPending = input;setReaderTestPoint();}"
"351","exception","@Override public E remove(int index) {Object[] a = array;int s = size;if (index >= s) {throwIndexOutOfBoundsException(index, s);}@SuppressWarnings(""<EXCEPTION>"") E result = (E) a[index];System.arraycopy(a, index + 1, a, index, --s - index);a[s] = null;  size = s;modCount++;return result;}","@Override public E remove(int index) {Object[] a = array;int s = size;if (index >= s) {throwIndexOutOfBoundsException(index, s);}@SuppressWarnings(""unchecked"") E result = (E) a[index];System.arraycopy(a, index + 1, a, index, --s - index);a[s] = null;  size = s;modCount++;return result;}"
"659","exception","public static org.apache.poi.hssf.record.Record create(RecordInputStream in) {switch (in.remaining()) {case 0:return instance;case 2:return new InterfaceHdrRecord(in);}throw new RecordFormatException(""<EXCEPTION>"" + in.remaining());}","public static org.apache.poi.hssf.record.Record create(RecordInputStream in) {switch (in.remaining()) {case 0:return instance;case 2:return new InterfaceHdrRecord(in);}throw new RecordFormatException(""Invalid record data size: "" + in.remaining());}"
"721","exception","final public QueryNode DisjQuery(CharSequence field) throws ParseException {QueryNode first, c;Vector<QueryNode> clauses = null;first = ConjQuery(field);label_2:while (true) {switch ((jj_ntk==-1)?jj_ntk():jj_ntk) {case OR:;break;default:jj_la1[3] = jj_gen;break label_2;}jj_consume_token(OR);c = ConjQuery(field);if (clauses == null) {clauses = new Vector<QueryNode>();clauses.addElement(first);}clauses.addElement(c);}if (clauses != null) {{if (true) return new OrQueryNode(clauses);}} else {{if (true) return first;}}throw new Error(""Missing return statement in function"");}","final public QueryNode DisjQuery(CharSequence field) throws ParseException {QueryNode first, c;Vector<QueryNode> clauses = null;first = ConjQuery(field);label_2:while (true) {switch ((jj_ntk==-1)?jj_ntk():jj_ntk) {case OR:;break;default:jj_la1[3] = jj_gen;break label_2;}jj_consume_token(OR);c = ConjQuery(field);if (clauses == null) {clauses = new Vector<QueryNode>();clauses.addElement(first);}clauses.addElement(c);}if (clauses != null) {{if (true) return new OrQueryNode(clauses);}} else {{if (true) return first;}}throw new Error(""Missing return statement in function"");}"
"737","exception","public Request<GetPolicyRequest> marshall(GetPolicyRequest getPolicyRequest) {if (getPolicyRequest == null) {throw new SdkClientException(""<EXCEPTION>"");}Request<GetPolicyRequest> request = new DefaultRequest<GetPolicyRequest>(getPolicyRequest, ""AmazonIdentityManagement"");request.addParameter(""Action"", ""GetPolicy"");request.addParameter(""Version"", ""2010-05-08"");request.setHttpMethod(HttpMethodName.POST);if (getPolicyRequest.getPolicyArn() != null) {request.addParameter(""PolicyArn"", StringUtils.fromString(getPolicyRequest.getPolicyArn()));}return request;}","public Request<GetPolicyRequest> marshall(GetPolicyRequest getPolicyRequest) {if (getPolicyRequest == null) {throw new SdkClientException(""Invalid argument passed to marshall(...)"");}Request<GetPolicyRequest> request = new DefaultRequest<GetPolicyRequest>(getPolicyRequest, ""AmazonIdentityManagement"");request.addParameter(""Action"", ""GetPolicy"");request.addParameter(""Version"", ""2010-05-08"");request.setHttpMethod(HttpMethodName.POST);if (getPolicyRequest.getPolicyArn() != null) {request.addParameter(""PolicyArn"", StringUtils.fromString(getPolicyRequest.getPolicyArn()));}return request;}"
"913","exception","public void remove() {throw new UnsupportedOperationException(""<EXCEPTION>"");}","public void remove() {throw new UnsupportedOperationException(""Remove not supported"");}"
"939","exception","public Process exec(String command, int timeout)throws TransportException {String ssh = SystemReader.getInstance().getenv(""GIT_SSH""); boolean putty = ssh.toLowerCase(Locale.ROOT).contains(""plink""); List<String> args = new ArrayList<>();args.add(ssh);if (putty&& !ssh.toLowerCase(Locale.ROOT).contains(""tortoiseplink"")) args.add(""-batch""); if (0 < getURI().getPort()) {args.add(putty ? ""-P"" : ""-p""); args.add(String.valueOf(getURI().getPort()));}if (getURI().getUser() != null)args.add(getURI().getUser() + ""@"" + getURI().getHost()); elseargs.add(getURI().getHost());args.add(command);ProcessBuilder pb = createProcess(args);try {return pb.start();} catch (IOException err) {throw new TransportException(err.getMessage(), err);}}","public Process exec(String command, int timeout)throws TransportException {String ssh = SystemReader.getInstance().getenv(""GIT_SSH""); boolean putty = ssh.toLowerCase(Locale.ROOT).contains(""plink""); List<String> args = new ArrayList<>();args.add(ssh);if (putty&& !ssh.toLowerCase(Locale.ROOT).contains(""tortoiseplink"")) args.add(""-batch""); if (0 < getURI().getPort()) {args.add(putty ? ""-P"" : ""-p""); args.add(String.valueOf(getURI().getPort()));}if (getURI().getUser() != null)args.add(getURI().getUser() + ""@"" + getURI().getHost()); elseargs.add(getURI().getHost());args.add(command);ProcessBuilder pb = createProcess(args);try {return pb.start();} catch (IOException err) {throw new TransportException(err.getMessage(), err);}}"
"958","exception","public QueryNode process(QueryNode queryTree) throws QueryNodeException {Operator op = getQueryConfigHandler().get(ConfigurationKeys.DEFAULT_OPERATOR);if (op == null) {throw new IllegalArgumentException(""<EXCEPTION>"");}this.usingAnd = StandardQueryConfigHandler.Operator.AND == op;return super.process(queryTree);}","public QueryNode process(QueryNode queryTree) throws QueryNodeException {Operator op = getQueryConfigHandler().get(ConfigurationKeys.DEFAULT_OPERATOR);if (op == null) {throw new IllegalArgumentException(""StandardQueryConfigHandler.ConfigurationKeys.DEFAULT_OPERATOR should be set on the QueryConfigHandler"");}this.usingAnd = StandardQueryConfigHandler.Operator.AND == op;return super.process(queryTree);}"
"1230","exception","public ConcurrentRefUpdateException(String message, Ref ref,RefUpdate.Result rc) {super((rc == null) ? message : message + ""<EXCEPTION>"" + MessageFormat.format(JGitText.get().refUpdateReturnCodeWas, rc));this.rc = rc;this.ref = ref;}","public ConcurrentRefUpdateException(String message, Ref ref,RefUpdate.Result rc) {super((rc == null) ? message : message + "". "" + MessageFormat.format(JGitText.get().refUpdateReturnCodeWas, rc));this.rc = rc;this.ref = ref;}"
"1700","exception","public String toString() {byte[] raw = toByteArray();CanonicalTreeParser p = new CanonicalTreeParser();p.reset(raw);StringBuilder r = new StringBuilder();r.append(""Tree={"");if (!p.eof()) {r.append('\n');try {new ObjectChecker().checkTree(raw);} catch (CorruptObjectException error) {r.append(""*** ERROR: "").append(error.getMessage()).append(""\n"");r.append('\n');}}while (!p.eof()) {final FileMode mode = p.getEntryFileMode();r.append(mode);r.append(' ');r.append(Constants.typeString(mode.getObjectType()));r.append(' ');r.append(p.getEntryObjectId().name());r.append(' ');r.append(p.getEntryPathString());r.append('\n');p.next();}r.append(""}"");return r.toString();}","public String toString() {byte[] raw = toByteArray();CanonicalTreeParser p = new CanonicalTreeParser();p.reset(raw);StringBuilder r = new StringBuilder();r.append(""Tree={"");if (!p.eof()) {r.append('\n');try {new ObjectChecker().checkTree(raw);} catch (CorruptObjectException error) {r.append(""*** ERROR: "").append(error.getMessage()).append(""\n"");r.append('\n');}}while (!p.eof()) {final FileMode mode = p.getEntryFileMode();r.append(mode);r.append(' ');r.append(Constants.typeString(mode.getObjectType()));r.append(' ');r.append(p.getEntryObjectId().name());r.append(' ');r.append(p.getEntryPathString());r.append('\n');p.next();}r.append(""}"");return r.toString();}"
"1809","exception","public void decompress(DataInput in, int originalLength, int offset, int length, BytesRef bytes) throws IOException {assert offset + length <= originalLength;if (length == 0) {bytes.length = 0;return;}final int compressedLength = in.readVInt();final int paddedLength = compressedLength + 1;compressed = ArrayUtil.grow(compressed, paddedLength);in.readBytes(compressed, 0, compressedLength);compressed[compressedLength] = 0; final Inflater decompressor = new Inflater(true);try {decompressor.setInput(compressed, 0, paddedLength);bytes.offset = bytes.length = 0;bytes.bytes = ArrayUtil.grow(bytes.bytes, originalLength);try {bytes.length = decompressor.inflate(bytes.bytes, bytes.length, originalLength);} catch (DataFormatException e) {throw new IOException(e);}if (!decompressor.finished()) {throw new CorruptIndexException(""<EXCEPTION>"" + decompressor.needsInput()+ "", needsDict="" + decompressor.needsDictionary(), in);}} finally {decompressor.end();}if (bytes.length != originalLength) {throw new CorruptIndexException(""<EXCEPTION>"" + bytes.length + "" != "" + originalLength, in);}bytes.offset = offset;bytes.length = length;}","public void decompress(DataInput in, int originalLength, int offset, int length, BytesRef bytes) throws IOException {assert offset + length <= originalLength;if (length == 0) {bytes.length = 0;return;}final int compressedLength = in.readVInt();final int paddedLength = compressedLength + 1;compressed = ArrayUtil.grow(compressed, paddedLength);in.readBytes(compressed, 0, compressedLength);compressed[compressedLength] = 0; final Inflater decompressor = new Inflater(true);try {decompressor.setInput(compressed, 0, paddedLength);bytes.offset = bytes.length = 0;bytes.bytes = ArrayUtil.grow(bytes.bytes, originalLength);try {bytes.length = decompressor.inflate(bytes.bytes, bytes.length, originalLength);} catch (DataFormatException e) {throw new IOException(e);}if (!decompressor.finished()) {throw new CorruptIndexException(""Invalid decoder state: needsInput="" + decompressor.needsInput()+ "", needsDict="" + decompressor.needsDictionary(), in);}} finally {decompressor.end();}if (bytes.length != originalLength) {throw new CorruptIndexException(""Lengths mismatch: "" + bytes.length + "" != "" + originalLength, in);}bytes.offset = offset;bytes.length = length;}"
"1934","exception","public void notifyListeners(LexerNoViableAltException e) {String text = _input.getText(Interval.of(_tokenStartCharIndex, _input.index()));String msg = ""token recognition error at: '""+ getErrorDisplay(text) + ""'"";ANTLRErrorListener listener = getErrorListenerDispatch();listener.syntaxError(this, null, _tokenStartLine, _tokenStartCharPositionInLine, msg, e);}","public void notifyListeners(LexerNoViableAltException e) {String text = _input.getText(Interval.of(_tokenStartCharIndex, _input.index()));String msg = ""token recognition error at: '""+ getErrorDisplay(text) + ""'"";ANTLRErrorListener listener = getErrorListenerDispatch();listener.syntaxError(this, null, _tokenStartLine, _tokenStartCharPositionInLine, msg, e);}"
"2268","exception","public FontRecord getFontRecordAt(int idx) {int index = idx;if (index > 4) {index -= 1;   }if (index > (numfonts - 1)) {throw new ArrayIndexOutOfBoundsException(""<EXCEPTION>"" + numfonts + "" font records, but you asked for index "" + idx);}return ( FontRecord ) records.get((records.getFontpos() - (numfonts - 1)) + index);}","public FontRecord getFontRecordAt(int idx) {int index = idx;if (index > 4) {index -= 1;   }if (index > (numfonts - 1)) {throw new ArrayIndexOutOfBoundsException(""There are only "" + numfonts + "" font records, but you asked for index "" + idx);}return ( FontRecord ) records.get((records.getFontpos() - (numfonts - 1)) + index);}"
